City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country
111,vao,-22.6667,167.4833,71.06,79,98,16.98,overcast clouds,NC
112,chalinze,-6.6378,38.354,66.29,98,22,2.62,few clouds,TZ
113,tuktoyaktuk,69.4541,-133.0374,35.74,90,100,10.25,overcast clouds,CA
114,billings,45.7833,-108.5007,88.93,33,0,4.23,clear sky,US
115,portland,45.5234,-122.6762,81.61,50,69,3.0,broken clouds,US
116,kapaa,22.0752,-159.319,78.78,97,90,1.99,heavy intensity rain,US
117,san cristobal,7.7669,-72.225,66.43,98,68,2.98,broken clouds,VE
118,lebu,-37.6167,-73.65,56.05,96,100,3.47,overcast clouds,CL
119,fairbanks,64.8378,-147.7164,69.8,32,75,12.66,broken clouds,US
120,lampang,18.3333,99.5,91.83,55,98,3.51,overcast clouds,TH
121,kayes,14.0,-11.0,96.26,25,100,2.98,overcast clouds,ML
122,uspenka,48.3903,39.1619,55.4,96,100,2.42,overcast clouds,UA
123,montrose,38.4166,-108.2673,74.61,29,20,7.76,few clouds,US
124,zhmerynka,49.037,28.112,53.85,93,48,7.72,scattered clouds,UA
125,lavrentiya,65.5833,-171.0,33.82,74,100,3.76,overcast clouds,RU
126,khatanga,71.9667,102.5,34.61,81,100,7.16,overcast clouds,RU
127,ixtapa,20.7,-105.2,82.22,84,100,1.01,overcast clouds,MX
128,saint-hyacinthe,45.6168,-72.9491,66.06,97,100,3.78,overcast clouds,CA
129,puerto madryn,-42.7692,-65.0385,47.03,91,50,10.25,scattered clouds,AR
130,marang,5.2056,103.2059,84.06,73,100,4.25,overcast clouds,MY
131,saint-georges,12.0564,-61.7485,80.28,78,20,18.41,few clouds,GD
132,springbok,-29.6643,17.8865,51.39,36,8,16.78,clear sky,ZA
133,mount gambier,-37.8333,140.7667,54.54,46,53,9.01,broken clouds,AU
134,champerico,14.3,-91.9167,85.35,69,9,1.25,clear sky,GT
135,ponta delgada,37.7333,-25.6667,57.92,82,20,4.61,few clouds,PT
136,lantawan,10.6167,123.9833,85.05,70,92,2.91,overcast clouds,PH
137,juneau,58.3019,-134.4197,49.21,99,100,4.0,moderate rain,US
138,kolpashevo,58.3131,82.9089,51.62,57,97,4.29,overcast clouds,RU
139,rio grande,-32.035,-52.0986,50.95,87,5,10.11,light rain,BR
140,kashi,39.4547,75.9797,79.39,20,0,4.97,clear sky,CN
141,najran,17.4924,44.1277,74.35,18,98,2.37,overcast clouds,SA
142,robertsport,6.7533,-11.3686,81.86,81,100,5.55,overcast clouds,LR
143,tiksi,71.6872,128.8694,31.73,94,100,6.85,overcast clouds,RU
144,port macquarie,-31.4333,152.9167,70.9,44,0,12.06,clear sky,AU
145,ilinskiy,55.619,38.1182,54.18,71,0,6.71,clear sky,RU
146,port hedland,-20.3167,118.5667,68.05,49,90,17.27,overcast clouds,AU
147,marsh harbour,26.5412,-77.0636,78.35,80,85,16.13,overcast clouds,BS
148,chokurdakh,70.6333,147.9167,55.67,65,100,7.58,overcast clouds,RU
149,kamenka,51.3223,42.7678,51.4,88,100,11.79,light rain,RU
150,huadian,42.9633,126.7478,64.18,56,69,14.14,broken clouds,CN
151,marietta,33.9526,-84.5499,73.49,93,75,3.44,broken clouds,US
152,georgetown,5.4112,100.3354,87.73,76,20,2.82,few clouds,MY
153,den helder,52.9599,4.7593,61.99,94,54,8.99,mist,NL
154,shimoda,34.6667,138.95,72.1,97,100,24.99,moderate rain,JP
155,aswan,24.0934,32.907,80.96,20,58,14.94,broken clouds,EG
156,noumea,-22.2763,166.4572,77.0,99,22,8.3,few clouds,NC
157,pangnirtung,66.1451,-65.7125,26.17,89,90,5.77,overcast clouds,CA
158,tezu,27.9167,96.1667,83.89,63,94,2.35,overcast clouds,IN
159,itarema,-2.9248,-39.9167,77.04,78,5,11.03,clear sky,BR
160,doha,25.2867,51.5333,93.18,43,0,5.75,clear sky,QA
161,san patricio,28.017,-97.5169,72.84,96,100,11.1,moderate rain,US
162,asau,46.4333,26.4,52.72,91,25,5.17,scattered clouds,RO
163,tinyahuarco,-10.75,-76.3,39.43,90,73,3.36,broken clouds,PE
164,tuatapere,-46.1333,167.6833,55.45,73,68,8.3,broken clouds,NZ
165,hauterive,46.0901,3.4459,63.36,93,64,4.21,broken clouds,FR
166,ust-ishim,57.6935,71.1665,39.9,81,79,11.7,light rain,RU
167,bengkulu,-3.8004,102.2655,80.98,81,91,1.57,overcast clouds,ID
168,pui,45.5167,23.1,53.74,75,92,2.15,overcast clouds,RO
169,coihaique,-45.5752,-72.0662,40.08,98,100,6.15,light rain,CL
170,linqiong,30.4159,103.4609,76.78,60,100,2.82,overcast clouds,CN
171,srivardhan,18.0333,73.0167,82.96,77,53,2.82,broken clouds,IN
172,sosnovo-ozerskoye,52.5249,111.5418,66.11,43,0,4.68,clear sky,RU
173,taltal,-25.4,-70.4833,59.7,87,48,4.05,scattered clouds,CL
174,kodinsk,58.6881,99.1844,54.88,94,100,6.91,moderate rain,RU
175,sarh,9.1429,18.3923,81.0,53,93,6.35,overcast clouds,TD
176,yazman,29.1212,71.7446,86.18,47,30,5.44,scattered clouds,PK
177,opochka,56.7105,28.6617,54.81,73,100,3.76,overcast clouds,RU
178,farias brito,-6.9306,-39.5656,74.23,62,36,4.5,scattered clouds,BR
179,cornwall,45.0181,-74.7281,65.39,98,100,4.45,overcast clouds,CA
180,hare bay,48.8499,-54.0148,56.82,74,99,7.25,overcast clouds,CA
181,san gabriel casa blanca,18.15,-97.1333,75.15,76,81,3.67,broken clouds,MX
182,baijiantan,45.6333,85.1833,91.72,19,100,13.13,overcast clouds,CN
183,ribeira grande,38.5167,-28.7,62.6,70,98,12.15,overcast clouds,PT
184,urazovo,50.0836,38.0395,53.06,97,100,6.11,overcast clouds,RU
185,codrington,-38.2667,141.9667,54.95,48,30,14.63,scattered clouds,AU
186,mahur,25.1667,93.1167,72.57,96,88,3.13,overcast clouds,IN
187,antofagasta,-23.65,-70.4,59.76,85,0,2.62,clear sky,CL
188,adrar,20.5022,-10.0711,86.95,26,65,22.95,broken clouds,MR
189,brae,60.3964,-1.353,51.71,94,71,13.31,broken clouds,GB
190,ust-kan,50.9276,84.761,68.09,64,55,7.4,broken clouds,RU
191,khash,28.2211,61.2158,81.3,11,0,2.93,clear sky,IR
192,nantucket,41.2835,-70.0995,64.08,97,100,22.48,overcast clouds,US
193,makurdi,7.7411,8.5121,72.66,87,100,0.25,moderate rain,NG
194,kazerun,29.6195,51.6541,82.35,11,1,2.71,clear sky,IR
195,gamba,-2.65,10.0,75.18,92,8,4.79,clear sky,GA
196,ganzhou,28.8184,115.4327,76.19,66,98,2.51,overcast clouds,CN
197,tzucacab,20.0667,-89.05,82.11,63,55,5.91,broken clouds,MX
198,nsanje,-16.92,35.262,63.52,91,65,4.94,broken clouds,MW
199,oriximina,-1.7656,-55.8661,74.43,95,34,3.85,light rain,BR
200,alta gracia,-31.6529,-64.4283,67.37,64,52,5.88,broken clouds,AR
201,kahului,20.8947,-156.47,83.97,78,23,10.0,few clouds,US
202,hay river,60.8156,-115.7999,54.32,77,65,5.03,broken clouds,CA
203,liwale,-9.7667,37.9333,62.96,99,37,1.05,scattered clouds,TZ
204,senovo,46.0236,15.4769,61.03,94,22,1.21,few clouds,SI
205,tatawin,32.9297,10.4518,66.58,88,97,5.23,overcast clouds,TN
206,okhotsk,59.3833,143.3,46.78,73,13,7.92,few clouds,RU
207,narva-joesuu,59.4589,28.0408,51.87,79,74,4.36,broken clouds,EE
208,namibe,-15.1961,12.1522,70.75,72,0,5.14,clear sky,AO
209,lorengau,-2.0226,147.2712,85.01,68,60,2.39,broken clouds,PG
210,pithiviers,48.1667,2.25,64.94,97,100,4.38,overcast clouds,FR
211,lagoa,39.05,-27.9833,61.63,72,59,16.33,broken clouds,PT
212,smiltene,57.4244,25.9016,50.81,64,100,3.0,overcast clouds,LV
213,arona,28.0996,-16.681,62.33,66,40,1.99,scattered clouds,ES
214,rio gallegos,-51.6226,-69.2181,35.28,99,100,2.98,light rain,AR
215,peleduy,59.6289,112.7406,81.37,26,24,6.58,few clouds,RU
216,clyde river,70.4692,-68.5914,26.83,100,90,16.11,mist,CA
217,charters towers,-20.1,146.2667,73.92,38,58,15.3,broken clouds,AU
218,necochea,-38.5473,-58.7368,58.03,81,100,16.75,overcast clouds,AR
219,kuytun,54.3419,101.5036,71.67,43,50,9.15,scattered clouds,RU
