City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
336,shingu,JP,74.91,heavy intensity rain,33.7333,135.9833,Shingu UI Hotel
340,dingle,PH,86.92,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
341,pout,SN,75.96,overcast clouds,14.7739,-17.0603,chez sada niang
342,lac du bonnet,CA,70.75,scattered clouds,50.2536,-96.0612,Casey's Inn Motor Hotel
343,mandan,US,88.81,clear sky,46.8267,-100.8896,Twin City Estates
345,hengshui,CN,89.64,clear sky,37.7322,115.7011,Eaka Hotel Hengshui Railway Station Branch
350,fort nelson,CA,71.22,overcast clouds,58.8053,-122.7002,The Fort Nelson Hotel
354,hobyo,SO,78.03,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
356,sokode,TG,72.43,scattered clouds,8.9833,1.1333,فندق ايسوفا سوكودى
357,luwuk,ID,84.11,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
361,waddan,LY,78.06,broken clouds,29.1614,16.139,محل الشريف محمد العايب
366,saint anthony,US,82.72,broken clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
369,sibu,MY,89.56,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
371,mareeba,AU,81.32,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
372,nabire,ID,83.71,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
374,kattivakkam,IN,85.06,overcast clouds,13.2167,80.3167,Raj's villa
376,aksu,CN,79.65,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
377,hovd,MN,73.56,few clouds,48.0056,91.6419,Hotel Khovd
378,hambantota,LK,79.14,overcast clouds,6.1241,81.1185,Bungalow 63
380,kalmunai,LK,81.07,overcast clouds,7.4167,81.8167,VS Villa
384,bahia honda,CU,78.19,clear sky,22.9036,-83.1592,Casa Gualberto - Deysi
386,boyolangu,ID,82.62,overcast clouds,-8.1181,111.8935,Yos ega cv
393,agadez,NE,88.99,clear sky,19.75,10.25,
394,hami,CN,89.35,scattered clouds,42.8,93.45,Laoyutang Resort
396,cap malheureux,MU,76.1,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
397,harper,LR,79.34,overcast clouds,4.375,-7.7169,Screensaver
400,sunyani,GH,73.31,scattered clouds,7.3399,-2.3268,Nass Lodge
404,bagepalli,IN,73.74,overcast clouds,13.7847,77.7931,Naydu hotel
405,beidao,CN,72.09,scattered clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
411,yatou,CN,72.95,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
413,vermilion,US,75.54,clear sky,40.1667,-87.7506,Sparkling Springs Cabin
414,katobu,ID,80.2,moderate rain,-4.9408,122.5276,La Ode Husein
416,khandyga,RU,73.94,overcast clouds,62.6667,135.6,Apel'sin
420,montego bay,JM,77.79,clear sky,18.4712,-77.9188,Sunscape Splash Montego Bay
421,namatanai,PG,84.72,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
423,kouroussa,GN,76.57,clear sky,10.65,-9.8833,Hotel Paillote
429,axim,GH,79.34,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
430,ayagoz,KZ,74.77,broken clouds,47.9714,80.4392,Gostinitsa Nur
